2015-08-12 10:24:06,845 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exposit.sjc.paradox:investmentfund:0.0.1-SNAPSHOT @ D:\JSC-2015 проект\ExpositInvestmentFund\investmentfund\pom.xml.
2015-08-12 10:24:07,395 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /investmentfund/src/main/java
2015-08-12 10:24:07,396 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /investmentfund/src/main/resources
2015-08-12 10:24:07,396 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /investmentfund/src/test/java
2015-08-12 10:24:09,243 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2015-08-12 10:24:09,429 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exposit.sjc.paradox:investmentfund:0.0.1-SNAPSHOT @ D:\JSC-2015 проект\ExpositInvestmentFund\investmentfund\pom.xml.
2015-08-12 10:24:10,122 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exposit.sjc.paradox:investmentfund:0.0.1-SNAPSHOT @ D:\JSC-2015 проект\ExpositInvestmentFund\investmentfund\pom.xml.
2015-08-12 10:24:10,300 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-12 10:24:10,306 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-08-12 10:24:10,307 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-12 10:24:10,312 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\JSC-2015 проект\ExpositInvestmentFund\investmentfund\src\test\resources
